model_id,model_name,condition_id,condition_name,variant_id,variant_label,component_id,component_title,rep_idx,prompt,ok,error,prompt_tokens,completion_tokens,cost,output_file,raw_score,max_score,norm_score,axe_ok,axe_error,axe_profile,axe_violations,axe_incomplete,axe_passes,axe_inapplicable,axe_score,axe_json_file,resolved_output_path,component_name_from_score_json,axe_coverage,axe_json_path
google/gemini-3.1-pro-preview,Google: Gemini 3.1 Pro Preview,cond_001,Unguided,G1,Unspecified,C01,Text Field,1,text field “What color is an orange”,True,,26,596,0.007204,output/_runs/gemini/google_gemini-3.1-pro-preview/cond_001/G1/C01/rep_01/133a54a23a.html,7,14,0.5,True,,form_fragment_rules,1,0,0,0,0.0,output/_runs/gemini/google_gemini-3.1-pro-preview/cond_001/G1/C01/rep_01/133a54a23a.axe.json,cond_001/G1/C01/rep_01/133a54a23a.html,Text Field,1.0,cond_001/G1/C01/rep_01/133a54a23a.axe.json
google/gemini-3.1-pro-preview,Google: Gemini 3.1 Pro Preview,cond_001,Unguided,G1,Unspecified,C01,Text Field,2,text field “What color is an orange”,True,,26,586,0.007084,output/_runs/gemini/google_gemini-3.1-pro-preview/cond_001/G1/C01/rep_02/7d799c1ab8.html,10,14,0.7142857142857143,True,,form_fragment_rules,0,0,1,0,1.0,output/_runs/gemini/google_gemini-3.1-pro-preview/cond_001/G1/C01/rep_02/7d799c1ab8.axe.json,cond_001/G1/C01/rep_02/7d799c1ab8.html,Text Field,1.0,cond_001/G1/C01/rep_02/7d799c1ab8.axe.json
google/gemini-3.1-pro-preview,Google: Gemini 3.1 Pro Preview,cond_001,Unguided,G1,Unspecified,C01,Text Field,3,text field “What color is an orange”,True,,26,588,0.007108,output/_runs/gemini/google_gemini-3.1-pro-preview/cond_001/G1/C01/rep_03/c0185d7da6.html,10,14,0.7142857142857143,True,,form_fragment_rules,0,0,1,0,1.0,output/_runs/gemini/google_gemini-3.1-pro-preview/cond_001/G1/C01/rep_03/c0185d7da6.axe.json,cond_001/G1/C01/rep_03/c0185d7da6.html,Text Field,1.0,cond_001/G1/C01/rep_03/c0185d7da6.axe.json
google/gemini-3.1-pro-preview,Google: Gemini 3.1 Pro Preview,cond_001,Unguided,G1,Unspecified,C01,Text Field,4,text field “What color is an orange”,True,,28,586,0.007088,output/_runs/gemini/google_gemini-3.1-pro-preview/cond_001/G1/C01/rep_04/dd6ab0a5a5.html,10,14,0.7142857142857143,True,,form_fragment_rules,0,0,1,0,1.0,output/_runs/gemini/google_gemini-3.1-pro-preview/cond_001/G1/C01/rep_04/dd6ab0a5a5.axe.json,cond_001/G1/C01/rep_04/dd6ab0a5a5.html,Text Field,1.0,cond_001/G1/C01/rep_04/dd6ab0a5a5.axe.json
google/gemini-3.1-pro-preview,Google: Gemini 3.1 Pro Preview,cond_001,Unguided,G1,Unspecified,C01,Text Field,5,text field “What color is an orange”,True,,26,586,0.007084,output/_runs/gemini/google_gemini-3.1-pro-preview/cond_001/G1/C01/rep_05/da09c7a9b2.html,10,14,0.7142857142857143,True,,form_fragment_rules,0,0,1,0,1.0,output/_runs/gemini/google_gemini-3.1-pro-preview/cond_001/G1/C01/rep_05/da09c7a9b2.axe.json,cond_001/G1/C01/rep_05/da09c7a9b2.html,Text Field,1.0,cond_001/G1/C01/rep_05/da09c7a9b2.axe.json
google/gemini-3.1-pro-preview,Google: Gemini 3.1 Pro Preview,cond_001,Unguided,G1,Unspecified,C01,Text Field,6,text field “What color is an orange”,True,,26,517,0.006256,output/_runs/gemini/google_gemini-3.1-pro-preview/cond_001/G1/C01/rep_06/542c4521c2.html,14,14,1.0,True,,form_fragment_rules,0,0,1,0,1.0,output/_runs/gemini/google_gemini-3.1-pro-preview/cond_001/G1/C01/rep_06/542c4521c2.axe.json,cond_001/G1/C01/rep_06/542c4521c2.html,Text Field,1.0,cond_001/G1/C01/rep_06/542c4521c2.axe.json
google/gemini-3.1-pro-preview,Google: Gemini 3.1 Pro Preview,cond_001,Unguided,G1,Unspecified,C01,Text Field,7,text field “What color is an orange”,True,,26,596,0.007204,output/_runs/gemini/google_gemini-3.1-pro-preview/cond_001/G1/C01/rep_07/2d15c6f04d.html,7,14,0.5,True,,form_fragment_rules,1,0,0,0,0.0,output/_runs/gemini/google_gemini-3.1-pro-preview/cond_001/G1/C01/rep_07/2d15c6f04d.axe.json,cond_001/G1/C01/rep_07/2d15c6f04d.html,Text Field,1.0,cond_001/G1/C01/rep_07/2d15c6f04d.axe.json
google/gemini-3.1-pro-preview,Google: Gemini 3.1 Pro Preview,cond_001,Unguided,G1,Unspecified,C01,Text Field,8,text field “What color is an orange”,True,,26,364,0.00442,output/_runs/gemini/google_gemini-3.1-pro-preview/cond_001/G1/C01/rep_08/77df8ec411.html,10,14,0.7142857142857143,True,,form_fragment_rules,0,0,1,0,1.0,output/_runs/gemini/google_gemini-3.1-pro-preview/cond_001/G1/C01/rep_08/77df8ec411.axe.json,cond_001/G1/C01/rep_08/77df8ec411.html,Text Field,1.0,cond_001/G1/C01/rep_08/77df8ec411.axe.json
google/gemini-3.1-pro-preview,Google: Gemini 3.1 Pro Preview,cond_001,Unguided,G1,Unspecified,C01,Text Field,9,text field “What color is an orange”,True,,28,596,0.007208,output/_runs/gemini/google_gemini-3.1-pro-preview/cond_001/G1/C01/rep_09/95e4db4d73.html,7,14,0.5,True,,form_fragment_rules,1,0,0,0,0.0,output/_runs/gemini/google_gemini-3.1-pro-preview/cond_001/G1/C01/rep_09/95e4db4d73.axe.json,cond_001/G1/C01/rep_09/95e4db4d73.html,Text Field,1.0,cond_001/G1/C01/rep_09/95e4db4d73.axe.json
google/gemini-3.1-pro-preview,Google: Gemini 3.1 Pro Preview,cond_001,Unguided,G1,Unspecified,C01,Text Field,10,text field “What color is an orange”,True,,26,587,0.007096,output/_runs/gemini/google_gemini-3.1-pro-preview/cond_001/G1/C01/rep_10/040cb02f4d.html,10,14,0.7142857142857143,True,,form_fragment_rules,0,0,1,0,1.0,output/_runs/gemini/google_gemini-3.1-pro-preview/cond_001/G1/C01/rep_10/040cb02f4d.axe.json,cond_001/G1/C01/rep_10/040cb02f4d.html,Text Field,1.0,cond_001/G1/C01/rep_10/040cb02f4d.axe.json
